age,education,occupation,hours-per-week,income
26,Some-college,Handlers-cleaners,41,<=50K
32,Some-college,Craft-repair,40,<=50K
55,Masters,Exec-managerial,60,>50K
23,1st-4th,Handlers-cleaners,34,<=50K
20,Preschool,Handlers-cleaners,28,<=50K
30,Bachelors,Prof-specialty,40,>50K
51,HS-grad,Adm-clerical,45,>50K
40,HS-grad,Handlers-cleaners,60,<=50K
24,Some-college,Prof-specialty,40,<=50K
36,Bachelors,Exec-managerial,45,>50K
34,Assoc-voc,Craft-repair,40,<=50K
36,Masters,Prof-specialty,41,>50K
33,HS-grad,Machine-op-inspct,42,<=50K
56,10th,Craft-repair,40,<=50K
36,Prof-school,Prof-specialty,40,<=50K
53,Some-college,Sales,40,<=50K
84,11th,Craft-repair,40,<=50K
32,11th,Craft-repair,59,<=50K
54,HS-grad,Machine-op-inspct,40,>50K
29,11th,Farming-fishing,54,<=50K
35,HS-grad,Craft-repair,40,<=50K
18,12th,Transport-moving,40,<=50K
45,Doctorate,Prof-specialty,43,>50K
31,Some-college,Tech-support,37,<=50K
19,11th,Sales,20,<=50K
55,Bachelors,Exec-managerial,40,<=50K
23,Some-college,Transport-moving,40,<=50K
34,HS-grad,Exec-managerial,40,>50K
48,Bachelors,Exec-managerial,40,>50K
39,HS-grad,Craft-repair,40,<=50K
37,7th-8th,Farming-fishing,62,<=50K
34,Assoc-voc,Exec-managerial,34,<=50K
45,Assoc-acdm,Sales,24,<=50K
30,Some-college,Adm-clerical,31,<=50K
35,Bachelors,Exec-managerial,50,>50K
23,Bachelors,Craft-repair,22,<=50K
32,Prof-school,Protective-serv,40,>50K
37,HS-grad,Adm-clerical,40,<=50K
33,Bachelors,Exec-managerial,45,>50K
45,Masters,Armed-Forces,30,>50K
25,11th,Handlers-cleaners,40,<=50K
25,Preschool,Farming-fishing,57,<=50K
46,HS-grad,Other-service,40,<=50K
77,Masters,Adm-clerical,40,<=50K
46,10th,Machine-op-inspct,40,<=50K
75,7th-8th,Priv-house-serv,19,<=50K
30,Bachelors,Craft-repair,50,<=50K
27,Assoc-acdm,Handlers-cleaners,40,>50K
54,Assoc-voc,Sales,38,<=50K
28,HS-grad,Machine-op-inspct,40,<=50K
19,Preschool,Machine-op-inspct,40,<=50K
39,Bachelors,Sales,45,<=50K
44,Bachelors,Tech-support,31,>50K
33,Masters,Prof-specialty,40,<=50K
50,Bachelors,Exec-managerial,45,<=50K
32,Some-college,Protective-serv,40,<=50K
42,Assoc-voc,Adm-clerical,39,>50K
34,HS-grad,Craft-repair,40,<=50K
33,HS-grad,Sales,50,<=50K
30,1st-4th,Machine-op-inspct,40,<=50K
26,Some-college,Adm-clerical,32,<=50K
49,HS-grad,Tech-support,63,<=50K
37,HS-grad,Handlers-cleaners,40,<=50K
31,Some-college,Machine-op-inspct,39,<=50K
53,HS-grad,Priv-house-serv,37,<=50K
59,HS-grad,Transport-moving,40,<=50K
34,11th,Farming-fishing,58,<=50K
64,Bachelors,Exec-managerial,40,<=50K
77,Masters,Tech-support,40,<=50K
46,Masters,Exec-managerial,40,>50K
43,Some-college,Sales,50,>50K
36,HS-grad,Craft-repair,40,>50K
45,HS-grad,Sales,45,>50K
32,HS-grad,Farming-fishing,64,<=50K
51,HS-grad,Prof-specialty,40,>50K
48,11th,Other-service,16,<=50K
29,Bachelors,Prof-specialty,50,<=50K
46,Assoc-voc,Prof-specialty,40,<=50K
30,HS-grad,Farming-fishing,56,<=50K
51,12th,Exec-managerial,29,<=50K
45,7th-8th,Priv-house-serv,41,<=50K
33,10th,Farming-fishing,48,<=50K
65,7th-8th,Machine-op-inspct,40,>50K
52,10th,Other-service,58,<=50K
53,HS-grad,Craft-repair,40,<=50K
42,HS-grad,Craft-repair,40,>50K
48,Assoc-acdm,Tech-support,40,>50K
28,5th-6th,Machine-op-inspct,40,<=50K
31,Assoc-acdm,Tech-support,19,<=50K
41,Bachelors,Exec-managerial,40,>50K
45,Assoc-voc,Exec-managerial,40,<=50K
55,HS-grad,Craft-repair,40,>50K
43,Doctorate,Prof-specialty,59,>50K
50,Bachelors,Prof-specialty,50,<=50K
39,Assoc-voc,Adm-clerical,40,>50K
58,Preschool,Priv-house-serv,40,<=50K
25,12th,Handlers-cleaners,18,<=50K
44,HS-grad,Craft-repair,40,>50K
63,7th-8th,Other-service,40,<=50K
34,1st-4th,Craft-repair,40,<=50K
47,Doctorate,Prof-specialty,38,>50K
34,9th,Craft-repair,40,<=50K
75,HS-grad,Farming-fishing,40,<=50K
26,HS-grad,Priv-house-serv,33,<=50K
38,Bachelors,Prof-specialty,50,<=50K
84,Doctorate,Prof-specialty,40,>50K
40,HS-grad,Tech-support,40,<=50K
33,Masters,Prof-specialty,40,>50K
34,Assoc-voc,Craft-repair,40,<=50K
19,Some-college,Other-service,20,<=50K
35,Bachelors,Sales,40,>50K
47,HS-grad,Protective-serv,45,>50K
40,Assoc-acdm,Exec-managerial,40,<=50K
48,Masters,Prof-specialty,48,>50K
50,Some-college,Machine-op-inspct,40,>50K
43,HS-grad,Sales,58,<=50K
37,HS-grad,Craft-repair,40,<=50K
24,HS-grad,Machine-op-inspct,40,<=50K
30,9th,Handlers-cleaners,40,<=50K
33,Bachelors,Adm-clerical,40,>50K
28,Bachelors,Prof-specialty,38,<=50K
39,HS-grad,Priv-house-serv,32,<=50K
22,Some-college,Tech-support,45,<=50K
50,HS-grad,Sales,50,<=50K
35,9th,Farming-fishing,26,<=50K
56,HS-grad,Craft-repair,40,>50K
29,HS-grad,Handlers-cleaners,40,<=50K
21,HS-grad,Other-service,22,<=50K
25,11th,Transport-moving,40,<=50K
35,Some-college,Craft-repair,40,<=50K
39,Doctorate,Prof-specialty,46,<=50K
45,12th,Machine-op-inspct,40,<=50K
20,12th,Transport-moving,20,<=50K
55,HS-grad,Craft-repair,55,<=50K
33,Some-college,Transport-moving,40,<=50K
31,HS-grad,Exec-managerial,40,>50K
37,9th,Handlers-cleaners,40,<=50K
23,Masters,Armed-Forces,40,>50K
29,11th,Craft-repair,40,<=50K
58,HS-grad,Protective-serv,40,<=50K
35,Masters,Prof-specialty,40,<=50K
32,Some-college,Tech-support,45,<=50K
44,HS-grad,Sales,40,>50K
54,HS-grad,Transport-moving,40,>50K
30,Assoc-voc,Adm-clerical,40,<=50K
35,9th,Craft-repair,40,<=50K
61,Some-college,Craft-repair,40,>50K
22,Bachelors,Prof-specialty,12,<=50K
34,Prof-school,Exec-managerial,40,>50K
22,11th,Machine-op-inspct,40,<=50K
40,Bachelors,Armed-Forces,40,>50K
35,Bachelors,Tech-support,40,<=50K
20,11th,Transport-moving,40,<=50K
28,Assoc-voc,Exec-managerial,50,>50K
43,HS-grad,Handlers-cleaners,40,<=50K
41,HS-grad,Transport-moving,33,<=50K
48,HS-grad,Transport-moving,81,<=50K
41,9th,Craft-repair,40,<=50K
49,HS-grad,Exec-managerial,45,>50K
27,Some-college,Exec-managerial,40,>50K
28,Prof-school,Prof-specialty,38,<=50K
24,1st-4th,Craft-repair,45,<=50K
21,11th,Handlers-cleaners,20,<=50K
37,HS-grad,Sales,45,>50K
23,HS-grad,Priv-house-serv,40,<=50K
50,Some-college,Craft-repair,40,<=50K
45,Bachelors,Exec-managerial,33,<=50K
26,Some-college,Machine-op-inspct,45,<=50K
43,Some-college,Adm-clerical,40,<=50K
26,9th,Transport-moving,50,<=50K
68,Bachelors,Sales,50,<=50K
60,5th-6th,Priv-house-serv,44,<=50K
20,Bachelors,Tech-support,11,<=50K
25,11th,Transport-moving,40,<=50K
34,HS-grad,Adm-clerical,40,>50K
38,HS-grad,Exec-managerial,50,>50K
28,10th,Machine-op-inspct,40,<=50K
32,Prof-school,Handlers-cleaners,36,<=50K
45,HS-grad,Craft-repair,40,<=50K
29,Assoc-acdm,Prof-specialty,37,<=50K
35,12th,Other-service,45,<=50K
30,Doctorate,Prof-specialty,40,<=50K
40,Bachelors,Prof-specialty,40,<=50K
57,Doctorate,Exec-managerial,40,>50K
38,9th,Craft-repair,40,<=50K
58,Doctorate,Prof-specialty,52,<=50K
36,HS-grad,Machine-op-inspct,40,<=50K
47,Assoc-voc,Machine-op-inspct,40,<=50K
59,11th,Handlers-cleaners,40,<=50K
53,HS-grad,Transport-moving,40,<=50K
30,Bachelors,Adm-clerical,43,<=50K
46,HS-grad,Exec-managerial,40,>50K
35,Assoc-voc,Craft-repair,40,<=50K
26,Bachelors,Exec-managerial,40,>50K
23,Some-college,Armed-Forces,40,<=50K
37,7th-8th,Priv-house-serv,40,<=50K
27,Some-college,Adm-clerical,40,<=50K
30,9th,Prof-specialty,34,<=50K
29,Bachelors,Sales,40,>50K
28,Assoc-acdm,Tech-support,40,<=50K
37,Some-college,Transport-moving,36,>50K
29,Assoc-voc,Prof-specialty,35,<=50K
18,11th,Exec-managerial,40,<=50K
23,12th,Other-service,31,<=50K
20,11th,Sales,21,<=50K
26,HS-grad,Machine-op-inspct,45,<=50K
33,Masters,Exec-managerial,40,<=50K
58,Assoc-acdm,Transport-moving,40,>50K
49,HS-grad,Sales,40,>50K
59,HS-grad,Exec-managerial,40,>50K
36,HS-grad,Sales,61,<=50K
45,Masters,Exec-managerial,40,>50K
36,HS-grad,Craft-repair,40,>50K
48,Masters,Exec-managerial,40,<=50K
24,HS-grad,Priv-house-serv,13,<=50K
72,Masters,Sales,18,<=50K
33,HS-grad,Sales,57,>50K
32,Some-college,Exec-managerial,40,>50K
23,HS-grad,Handlers-cleaners,31,<=50K
34,9th,Craft-repair,40,<=50K
26,HS-grad,Adm-clerical,40,>50K
32,11th,Craft-repair,40,<=50K
32,HS-grad,Machine-op-inspct,40,>50K
28,Some-college,Farming-fishing,45,<=50K
29,7th-8th,Transport-moving,40,<=50K
30,Prof-school,Prof-specialty,40,>50K
35,Bachelors,Exec-managerial,58,>50K
39,Doctorate,Prof-specialty,30,<=50K
46,HS-grad,Craft-repair,40,<=50K
30,Bachelors,Prof-specialty,45,>50K
36,Masters,Exec-managerial,50,>50K
32,Bachelors,Sales,50,>50K
32,HS-grad,Transport-moving,40,<=50K
25,9th,Machine-op-inspct,29,<=50K
25,9th,Transport-moving,40,<=50K
58,9th,Handlers-cleaners,40,<=50K
28,Masters,Exec-managerial,38,<=50K
41,Doctorate,Prof-specialty,50,>50K
19,12th,Transport-moving,23,<=50K
62,Doctorate,Prof-specialty,50,<=50K
51,HS-grad,Exec-managerial,40,>50K
39,Bachelors,Prof-specialty,35,<=50K
75,HS-grad,Adm-clerical,40,<=50K
37,HS-grad,Craft-repair,40,>50K
39,HS-grad,Machine-op-inspct,33,<=50K
53,Masters,Exec-managerial,42,>50K
33,Some-college,Craft-repair,40,<=50K
80,HS-grad,Sales,40,<=50K
59,12th,Farming-fishing,57,<=50K
35,Some-college,Machine-op-inspct,40,<=50K
30,Masters,Machine-op-inspct,40,>50K
43,HS-grad,Machine-op-inspct,40,>50K
24,Some-college,Machine-op-inspct,40,<=50K
48,7th-8th,Machine-op-inspct,40,<=50K
43,Some-college,Exec-managerial,66,<=50K
33,HS-grad,Exec-managerial,40,>50K
37,Some-college,Craft-repair,40,<=50K
39,Bachelors,Craft-repair,50,<=50K
20,12th,Other-service,18,<=50K
40,HS-grad,Machine-op-inspct,40,<=50K
58,Doctorate,Prof-specialty,40,>50K
25,HS-grad,Sales,50,<=50K
18,10th,Transport-moving,34,<=50K
41,HS-grad,Sales,40,>50K
72,5th-6th,Machine-op-inspct,21,<=50K
40,7th-8th,Machine-op-inspct,40,<=50K
62,Some-college,Craft-repair,40,<=50K
35,HS-grad,Craft-repair,40,<=50K
33,HS-grad,Protective-serv,40,<=50K
76,HS-grad,Machine-op-inspct,40,<=50K
45,12th,Other-service,33,<=50K
51,Masters,Prof-specialty,40,>50K
50,Bachelors,Exec-managerial,45,>50K
41,7th-8th,Machine-op-inspct,40,<=50K
53,12th,Transport-moving,40,<=50K
45,Bachelors,Sales,40,>50K
49,Assoc-acdm,Adm-clerical,40,<=50K
49,HS-grad,Priv-house-serv,40,<=50K
29,Masters,Prof-specialty,40,>50K
52,HS-grad,Exec-managerial,40,>50K
34,Some-college,Tech-support,40,>50K
39,HS-grad,Transport-moving,60,<=50K
38,Assoc-acdm,Tech-support,40,<=50K
26,9th,Craft-repair,37,<=50K
55,Assoc-acdm,Exec-managerial,45,>50K
29,Bachelors,Exec-managerial,56,<=50K
30,11th,Craft-repair,40,<=50K
59,Some-college,Adm-clerical,45,<=50K
40,Bachelors,Exec-managerial,40,>50K
55,Assoc-acdm,Exec-managerial,50,>50K
32,HS-grad,Sales,40,>50K
29,Bachelors,Exec-managerial,45,<=50K
